Generiere Wunschliste mit 1000 Wuenschen...
Geschenk generiert: #0 | Dicker Pullover [0.34](Eleganz: 15)
Geschenk generiert: #786 | Aromatischer Tee [3.72](Gesund: Nein)
Geschenk generiert: #787 | Rote Unterbuxe [2.41](Eleganz: 14)
Geschenk generiert: #788 | Niedliche Puppe [2.62](Spannung: 3.0)
Geschenk generiert: #789 | Spannendes Buch [23.2]
Geschenk generiert: #790 | Aromatischer Tee [12.9](Gesund: Ja)
Geschenk generiert: #791 | Interessantes Brettspiel [6.54](Spannung: 14.4)
Geschenk generiert: #792 | Niedliche Puppe [0.3](Spannung: 0.0)
Geschenk generiert: #793 | Interessantes Brettspiel [7.33](Spannung: 16.8)
Geschenk generiert: #794 | Interessantes Brettspiel [1.63](Spannung: 2.4)
Geschenk generiert: #795 | Zipfelige Muetze [3.03](Eleganz: 16)
Geschenk generiert: #796 | Bequeme Hose [2.51](Eleganz: 12)
Geschenk generiert: #797 | Interessantes Brettspiel [8.13](Spannung: 19.2)
Geschenk generiert: #798 | Schnelles Auto [9.23]
Geschenk generiert: #799 | Knusprige Kekse [11.61](Gesund: Nein)
Geschenk generiert: #800 | Niedliche Puppe [1.11](Spannung: 1.5)
Geschenk generiert: #801 | Niedliche Puppe [7.74](Spannung: 10.5)
Geschenk generiert: #802 | Warme Socken [4.12](Eleganz: 12)
Geschenk generiert: #803 | Schnelles Auto [1.7]
Geschenk generiert: #804 | Aromatischer Tee [8.02](Gesund: Ja)
Geschenk generiert: #805 | Rote Unterbuxe [4.83](Eleganz: 14)
Geschenk generiert: #806 | Robuster Nussknacker [3.05]
Geschenk generiert: #807 | Stacheliger Kaktus [0.46]
Geschenk generiert: #808 | Robuster Nussknacker [6.31]
Geschenk generiert: #809 | Aromatischer Tee [11.0](Gesund: Nein)
Geschenk generiert: #810 | Interessantes Brettspiel [9.61](Spannung: 21.6)
Geschenk generiert: #811 | Stacheliger Kaktus [13.87]
Geschenk generiert: #812 | Rote Unterbuxe [0.64](Eleganz: 14)
Geschenk generiert: #813 | Niedliche Puppe [4.5](Spannung: 6.0)
Geschenk generiert: #814 | Knusprige Kekse [11.89](Gesund: Nein)
Geschenk generiert: #815 | Interessantes Brettspiel [9.37](Spannung: 21.6)
Geschenk generiert: #816 | Aromatischer Tee [3.23](Gesund: Nein)
Geschenk generiert: #817 | Aromatischer Tee [12.63](Gesund: Ja)
Geschenk generiert: #818 | Niedliche Puppe [9.23](Spannung: 13.5)
Geschenk generiert: #819 | Interessantes Brettspiel [4.06](Spannung: 9.6)
Geschenk generiert: #820 | Thermo-Ski-Unterwaesche [0.33](Eleganz: 23)
Geschenk generiert: #821 | Spannendes Buch [20.57]
Geschenk generiert: #822 | Aromatischer Tee [4.77](Gesund: Ja)
Geschenk generiert: #823 | Robuster Nussknacker [17.48]
Geschenk generiert: #824 | Niedliche Puppe [0.65](Spannung: 0.0)
Geschenk generiert: #825 | Interessantes Brettspiel [7.11](Spannung: 16.8)
Geschenk generiert: #826 | Schnelles Auto [8.1]
Geschenk generiert: #827 | Stacheliger Kaktus [5.72]
Geschenk generiert: #828 | Knusprige Kekse [7.55](Gesund: Nein)
Geschenk generiert: #829 | Interessantes Brettspiel [4.76](Spannung: 9.6)
Geschenk generiert: #830 | Robuster Nussknacker [24.25]
Geschenk generiert: #831 | Lange Struempfe [3.84](Eleganz: 15)
Geschenk generiert: #832 | Aromatischer Tee [8.09](Gesund: Ja)
Geschenk generiert: #833 | Warme Socken [3.95](Eleganz: 12)
Geschenk generiert: #834 | Schnelles Auto [1.67]
Geschenk generiert: #835 | Dicker Pullover [3.58](Eleganz: 15)
Geschenk generiert: #836 | Schoko-Nikolaus [5.83](Gesund: Nein)
Geschenk generiert: #837 | Interessantes Brettspiel [3.97](Spannung: 7.2)
Geschenk generiert: #838 | Schnelles Auto [13.53]
Geschenk generiert: #839 | Niedliche Puppe [2.35](Spannung: 3.0)
Geschenk generiert: #840 | Zipfelige Muetze [2.31](Eleganz: 16)
Geschenk generiert: #841 | Spannendes Buch [0.05]
Geschenk generiert: #842 | Interessantes Brettspiel [6.27](Spannung: 14.4)
Geschenk generiert: #843 | Schoko-Nikolaus [2.11](Gesund: Ja)
Geschenk generiert: #844 | Niedliche Puppe [3.73](Spannung: 4.5)
Geschenk generiert: #845 | Niedliche Puppe [5.95](Spannung: 7.5)
Geschenk generiert: #846 | Interessantes Brettspiel [8.88](Spannung: 19.2)
Geschenk generiert: #847 | Aromatischer Tee [0.43](Gesund: Ja)
Geschenk generiert: #848 | Schoko-Nikolaus [14.99](Gesund: Ja)
Geschenk generiert: #849 | Aromatischer Tee [2.88](Gesund: Ja)
Geschenk generiert: #850 | Robuster Nussknacker [18.49]
Geschenk generiert: #851 | Warme Socken [2.9](Eleganz: 12)
Geschenk generiert: #852 | Spannendes Buch [4.35]
Geschenk generiert: #853 | Schoko-Nikolaus [1.26](Gesund: Nein)
Geschenk generiert: #854 | Spannendes Buch [20.9]
Geschenk generiert: #855 | Schnelles Auto [0.19]
Geschenk generiert: #856 | Robuster Nussknacker [4.62]
Geschenk generiert: #857 | Dicker Pullover [2.98](Eleganz: 15)
Geschenk generiert: #858 | Aromatischer Tee [11.55](Gesund: Nein)
Geschenk generiert: #859 | Niedliche Puppe [5.19](Spannung: 7.5)
Geschenk generiert: #860 | Warme Socken [2.88](Eleganz: 12)
Geschenk generiert: #861 | Schoko-Nikolaus [1.81](Gesund: Nein)
Geschenk generiert: #862 | Warme Socken [1.55](Eleganz: 12)
Geschenk generiert: #863 | Niedliche Puppe [9.82](Spannung: 13.5)
Geschenk generiert: #864 | Schnelles Auto [7.7]
Geschenk generiert: #865 | Rote Unterbuxe [4.52](Eleganz: 14)
Geschenk generiert: #866 | Schoko-Nikolaus [10.14](Gesund: Ja)
Geschenk generiert: #867 | Thermo-Ski-Unterwaesche [1.3](Eleganz: 23)
Geschenk generiert: #868 | Dicker Pullover [3.73](Eleganz: 15)
Geschenk generiert: #869 | Aromatischer Tee [5.43](Gesund: Nein)
Geschenk generiert: #870 | Kuscheliger Schal [1.74](Eleganz: 17)
Geschenk generiert: #871 | Warme Socken [0.67](Eleganz: 12)
Geschenk generiert: #872 | Schoko-Nikolaus [11.04](Gesund: Nein)
Geschenk generiert: #873 | Thermo-Ski-Unterwaesche [4.81](Eleganz: 23)
Geschenk generiert: #874 | Warme Socken [3.29](Eleganz: 12)
Geschenk generiert: #875 | Stacheliger Kaktus [22.84]
Geschenk generiert: #876 | Spannendes Buch [11.26]
Geschenk generiert: #877 | Interessantes Brettspiel [9.44](Spannung: 21.6)
Geschenk generiert: #878 | Niedliche Puppe [1.89](Spannung: 1.5)
Geschenk generiert: #879 | Stacheliger Kaktus [15.16]
Geschenk generiert: #880 | Zipfelige Muetze [4.42](Eleganz: 16)
Geschenk generiert: #881 | Bequeme Hose [2.28](Eleganz: 12)
Geschenk generiert: #882 | Kuscheliger Schal [4.97](Eleganz: 17)
Geschenk generiert: #883 | Rote Unterbuxe [4.3](Eleganz: 14)
Geschenk generiert: #884 | Spannendes Buch [18.17]
Geschenk generiert: #885 | Aromatischer Tee [11.58](Gesund: Nein)
Geschenk generiert: #886 | Aromatischer Tee [6.24](Gesund: Ja)
Geschenk generiert: #887 | Kuscheliger Schal [0.07](Eleganz: 17)
Geschenk generiert: #888 | Aromatischer Tee [1.74](Gesund: Nein)
Geschenk generiert: #889 | Dicker Pullover [3.01](Eleganz: 15)
Geschenk generiert: #890 | Interessantes Brettspiel [5.77](Spannung: 12.0)
Geschenk generiert: #891 | Schoko-Nikolaus [11.37](Gesund: Nein)
Geschenk generiert: #892 | Niedliche Puppe [8.08](Spannung: 12.0)
Geschenk generiert: #893 | Zipfelige Muetze [0.45](Eleganz: 16)
Geschenk generiert: #894 | Thermo-Ski-Unterwaesche [4.42](Eleganz: 23)
Geschenk generiert: #895 | Aromatischer Tee [3.32](Gesund: Nein)
Geschenk generiert: #896 | Lange Struempfe [0.24](Eleganz: 15)
Geschenk generiert: #897 | Niedliche Puppe [4.01](Spannung: 6.0)
Geschenk generiert: #898 | Interessantes Brettspiel [0.1](Spannung: 0.0)
Geschenk generiert: #899 | Thermo-Ski-Unterwaesche [4.72](Eleganz: 23)
Geschenk generiert: #900 | Schoko-Nikolaus [14.65](Gesund: Ja)
Geschenk generiert: #901 | Lange Struempfe [1.36](Eleganz: 15)
Geschenk generiert: #902 | Bequeme Hose [2.97](Eleganz: 12)
Geschenk generiert: #903 | Kuscheliger Schal [4.06](Eleganz: 17)
Geschenk generiert: #904 | Knusprige Kekse [10.3](Gesund: Ja)
Geschenk generiert: #905 | Lange Struempfe [1.0](Eleganz: 15)
Geschenk generiert: #906 | Bequeme Hose [3.54](Eleganz: 12)
Geschenk generiert: #907 | Stacheliger Kaktus [6.3]
Geschenk generiert: #908 | Schoko-Nikolaus [1.76](Gesund: Nein)
Geschenk generiert: #909 | Zipfelige Muetze [4.33](Eleganz: 16)
Geschenk generiert: #910 | Niedliche Puppe [2.78](Spannung: 3.0)
Geschenk generiert: #911 | Niedliche Puppe [3.35](Spannung: 4.5)
Geschenk generiert: #912 | Kuscheliger Schal [1.77](Eleganz: 17)
Geschenk generiert: #913 | Niedliche Puppe [0.01](Spannung: 0.0)
Geschenk generiert: #914 | Stacheliger Kaktus [12.83]
Geschenk generiert: #915 | Niedliche Puppe [7.42](Spannung: 10.5)
Geschenk generiert: #916 | Interessantes Brettspiel [3.5](Spannung: 7.2)
Geschenk generiert: #917 | Stacheliger Kaktus [16.21]
Geschenk generiert: #918 | Robuster Nussknacker [9.53]
Geschenk generiert: #919 | Aromatischer Tee [8.2](Gesund: Ja)
Geschenk generiert: #920 | Zipfelige Muetze [3.96](Eleganz: 16)
Geschenk generiert: #921 | Aromatischer Tee [2.98](Gesund: Ja)
Geschenk generiert: #922 | Thermo-Ski-Unterwaesche [4.44](Eleganz: 23)
Geschenk generiert: #923 | Kuscheliger Schal [4.41](Eleganz: 17)
Geschenk generiert: #924 | Robuster Nussknacker [20.9]
Geschenk generiert: #925 | Spannendes Buch [16.91]
Geschenk generiert: #926 | Niedliche Puppe [8.83](Spannung: 12.0)
Geschenk generiert: #927 | Kuscheliger Schal [2.1](Eleganz: 17)
Geschenk generiert: #928 | Rote Unterbuxe [3.23](Eleganz: 14)
Geschenk generiert: #929 | Aromatischer Tee [6.21](Gesund: Ja)
Geschenk generiert: #930 | Stacheliger Kaktus [5.62]
Geschenk generiert: #931 | Interessantes Brettspiel [5.52](Spannung: 12.0)
Geschenk generiert: #932 | Interessantes Brettspiel [9.02](Spannung: 21.6)
Geschenk generiert: #933 | Aromatischer Tee [2.21](Gesund: Ja)
Geschenk generiert: #934 | Lange Struempfe [1.13](Eleganz: 15)
Geschenk generiert: #935 | Schoko-Nikolaus [6.84](Gesund: Ja)
Geschenk generiert: #936 | Niedliche Puppe [6.16](Spannung: 9.0)
Geschenk generiert: #937 | Lange Struempfe [4.13](Eleganz: 15)
Geschenk generiert: #938 | Lange Struempfe [4.63](Eleganz: 15)
Geschenk generiert: #939 | Dicker Pullover [4.52](Eleganz: 15)
Geschenk generiert: #940 | Robuster Nussknacker [1.81]
Geschenk generiert: #941 | Warme Socken [1.47](Eleganz: 12)
Geschenk generiert: #942 | Interessantes Brettspiel [1.25](Spannung: 2.4)
Geschenk generiert: #943 | Robuster Nussknacker [4.75]
Geschenk generiert: #944 | Niedliche Puppe [9.68](Spannung: 13.5)
Geschenk generiert: #945 | Knusprige Kekse [9.36](Gesund: Nein)
Geschenk generiert: #946 | Warme Socken [0.12](Eleganz: 12)
Geschenk generiert: #947 | Spannendes Buch [15.73]
Geschenk generiert: #948 | Rote Unterbuxe [4.61](Eleganz: 14)
Geschenk generiert: #949 | Interessantes Brettspiel [7.84](Spannung: 16.8)
Geschenk generiert: #950 | Schoko-Nikolaus [9.79](Gesund: Nein)
Geschenk generiert: #951 | Dicker Pullover [3.46](Eleganz: 15)
Geschenk generiert: #952 | Niedliche Puppe [2.7](Spannung: 3.0)
Geschenk generiert: #953 | Niedliche Puppe [2.15](Spannung: 3.0)
Geschenk generiert: #954 | Niedliche Puppe [6.73](Spannung: 9.0)
Geschenk generiert: #955 | Aromatischer Tee [4.0](Gesund: Ja)
Geschenk generiert: #956 | Schnelles Auto [21.82]
Geschenk generiert: #957 | Schoko-Nikolaus [12.27](Gesund: Ja)
Geschenk generiert: #958 | Thermo-Ski-Unterwaesche [4.08](Eleganz: 23)
Geschenk generiert: #959 | Interessantes Brettspiel [3.2](Spannung: 7.2)
Geschenk generiert: #960 | Robuster Nussknacker [11.21]
Geschenk generiert: #961 | Warme Socken [4.54](Eleganz: 12)
Geschenk generiert: #962 | Stacheliger Kaktus [2.46]
Geschenk generiert: #963 | Schnelles Auto [10.21]
Geschenk generiert: #964 | Aromatischer Tee [12.32](Gesund: Ja)
Geschenk generiert: #965 | Knusprige Kekse [14.28](Gesund: Ja)
Geschenk generiert: #966 | Interessantes Brettspiel [1.49](Spannung: 2.4)
Geschenk generiert: #967 | Rote Unterbuxe [1.93](Eleganz: 14)
Geschenk generiert: #968 | Knusprige Kekse [6.79](Gesund: Ja)
Geschenk generiert: #969 | Aromatischer Tee [3.21](Gesund: Nein)
Geschenk generiert: #970 | Kuscheliger Schal [0.31](Eleganz: 17)
Geschenk generiert: #971 | Spannendes Buch [9.5]
Geschenk generiert: #972 | Robuster Nussknacker [15.91]
Geschenk generiert: #973 | Schoko-Nikolaus [14.96](Gesund: Ja)
Geschenk generiert: #974 | Knusprige Kekse [1.83](Gesund: Nein)
Geschenk generiert: #975 | Thermo-Ski-Unterwaesche [2.86](Eleganz: 23)
Geschenk generiert: #976 | Robuster Nussknacker [12.39]
Geschenk generiert: #977 | Aromatischer Tee [12.37](Gesund: Ja)
Geschenk generiert: #978 | Robuster Nussknacker [4.71]
Geschenk generiert: #979 | Interessantes Brettspiel [3.79](Spannung: 7.2)
Geschenk generiert: #980 | Interessantes Brettspiel [4.32](Spannung: 9.6)
Geschenk generiert: #981 | Thermo-Ski-Unterwaesche [4.58](Eleganz: 23)
Geschenk generiert: #982 | Knusprige Kekse [9.47](Gesund: Nein)
Geschenk generiert: #983 | Rote Unterbuxe [0.13](Eleganz: 14)
Geschenk generiert: #984 | Niedliche Puppe [0.38](Spannung: 0.0)
Geschenk generiert: #985 | Interessantes Brettspiel [2.61](Spannung: 4.8)
Geschenk generiert: #986 | Schnelles Auto [10.71]
Geschenk generiert: #987 | Interessantes Brettspiel [0.77](Spannung: 0.0)
Geschenk generiert: #988 | Knusprige Kekse [7.32](Gesund: Nein)
Geschenk generiert: #989 | Niedliche Puppe [1.81](Spannung: 1.5)
Geschenk generiert: #990 | Schnelles Auto [20.14]
Geschenk generiert: #991 | Warme Socken [4.06](Eleganz: 12)
Geschenk generiert: #992 | Stacheliger Kaktus [2.51]
Geschenk generiert: #993 | Interessantes Brettspiel [5.02](Spannung: 12.0)
Geschenk generiert: #994 | Stacheliger Kaktus [0.63]
Geschenk generiert: #995 | Dicker Pullover [1.4](Eleganz: 15)
Geschenk generiert: #996 | Stacheliger Kaktus [10.31]
Geschenk generiert: #997 | Niedliche Puppe [4.07](Spannung: 6.0)
Geschenk generiert: #998 | Bequeme Hose [0.41](Eleganz: 12)
Geschenk generiert: #999 | Stacheliger Kaktus [0.53]
Wunschliste vollstaendig!

Generiere Wichtelmannschaft...
Blauer Wichtel HATIHATI meldet sich zum Dienst!
Blauer Wichtel GEROSMU meldet sich zum Dienst!
Roter Wichtel VARJOLA meldet sich zum Dienst!
Blauer Wichtel XULLE meldet sich zum Dienst!
Roter Wichtel SETITAZARI meldet sich zum Dienst!
Gelber Wichtel ZOTOIOTIWEL meldet sich zum Dienst!
Gelber Wichtel UMAHATI meldet sich zum Dienst!
Blauer Wichtel TAZKOLE meldet sich zum Dienst!
Roter Wichtel IOTIDURZOTO meldet sich zum Dienst!
Gelber Wichtel MUSETITAZ meldet sich zum Dienst!
Blauer Wichtel XULVARBOR meldet sich zum Dienst!
Roter Wichtel YIFIIOTIBOR meldet sich zum Dienst!
Gelber Wichtel CARUMANOR meldet sich zum Dienst!
Gelber Wichtel EORLNOR meldet sich zum Dienst!
Blauer Wichtel NORBOR meldet sich zum Dienst!
Blauer Wichtel LEEORL meldet sich zum Dienst!
Blauer Wichtel ARIXUL meldet sich zum Dienst!
Blauer Wichtel FRITAZ meldet sich zum Dienst!
Roter Wichtel ARIBOR meldet sich zum Dienst!
Blauer Wichtel VARUMA meldet sich zum Dienst!
Roter Wichtel UMAUMAIOTI meldet sich zum Dienst!
Roter Wichtel SETISETI meldet sich zum Dienst!
Gelber Wichtel FRIJOLA meldet sich zum Dienst!
Blauer Wichtel ZOTOXULJOLA meldet sich zum Dienst!
Gelber Wichtel LEROMI meldet sich zum Dienst!
Roter Wichtel SETIXUL meldet sich zum Dienst!
Gelber Wichtel EORLKOROMI meldet sich zum Dienst!
Gelber Wichtel SETILEFRI meldet sich zum Dienst!
Roter Wichtel MUWEL meldet sich zum Dienst!
Roter Wichtel ARIHATIXUL meldet sich zum Dienst!
Alle Wichtel anwesend!

----------------------------------------
Runde 1
Blauer Wichtel HATIHATI bearbeitet nun #0 
 --> Dicker Pullover [0.34](Eleganz: 15)
Blauer Wichtel GEROSMU bearbeitet nun #1 
 --> Spannendes Buch [4.93]
Roter Wichtel VARJOLA bearbeitet nun #2 
 --> Robuster Nussknacker [6.16]
Blauer Wichtel XULLE bearbeitet nun #3 
 --> Stacheliger Kaktus [12.61]
Roter Wichtel SETITAZARI bearbeitet nun #4 
 --> Robuster Nussknacker [20.04]
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #5 
 --> Spannendes Buch [14.02]
Gelber Wichtel UMAHATI bearbeitet nun #6 
 --> Spannendes Buch [8.75]
Blauer Wichtel TAZKOLE bearbeitet nun #7 
 --> Interessantes Brettspiel [7.72](Spannung: 16.8)
Roter Wichtel IOTIDURZOTO bearbeitet nun #8 
 --> Zipfelige Muetze [3.13](Eleganz: 16)
Gelber Wichtel MUSETITAZ bearbeitet nun #9 
 --> Interessantes Brettspiel [5.11](Spannung: 12.0)
Blauer Wichtel XULVARBOR bearbeitet nun #10 
 --> Spannendes Buch [8.25]
Roter Wichtel YIFIIOTIBOR bearbeitet nun #11 
 --> Schoko-Nikolaus [5.33](Gesund: Nein)
Gelber Wichtel CARUMANOR bearbeitet nun #12 
 --> Thermo-Ski-Unterwaesche [2.38](Eleganz: 23)
Gelber Wichtel EORLNOR bearbeitet nun #13 
 --> Niedliche Puppe [6.04](Spannung: 9.0)
Blauer Wichtel NORBOR bearbeitet nun #14 
 --> Niedliche Puppe [3.59](Spannung: 4.5)
Blauer Wichtel LEEORL bearbeitet nun #15 
 --> Kuscheliger Schal [4.73](Eleganz: 17)
Blauer Wichtel ARIXUL bearbeitet nun #16 
 --> Spannendes Buch [19.51]
Blauer Wichtel FRITAZ bearbeitet nun #17 
 --> Thermo-Ski-Unterwaesche [1.5](Eleganz: 23)
Roter Wichtel ARIBOR bearbeitet nun #18 
 --> Kuscheliger Schal [0.62](Eleganz: 17)
Blauer Wichtel VARUMA bearbeitet nun #19 
 --> Knusprige Kekse [4.23](Gesund: Ja)
Roter Wichtel UMAUMAIOTI bearbeitet nun #20 
 --> Knusprige Kekse [8.22](Gesund: Ja)
Roter Wichtel SETISETI bearbeitet nun #21 
 --> Interessantes Brettspiel [0.56](Spannung: 0.0)
Gelber Wichtel FRIJOLA bearbeitet nun #22 
 --> Knusprige Kekse [7.74](Gesund: Nein)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #23 
 --> Dicker Pullover [2.17](Eleganz: 15)
Gelber Wichtel LEROMI bearbeitet nun #24 
 --> Niedliche Puppe [3.56](Spannung: 4.5)
Roter Wichtel SETIXUL bearbeitet nun #25 
 --> Schoko-Nikolaus [2.8](Gesund: Ja)
Gelber Wichtel EORLKOROMI bearbeitet nun #26 
 --> Aromatischer Tee [10.17](Gesund: Ja)
Gelber Wichtel SETILEFRI bearbeitet nun #27 
 --> Schnelles Auto [15.51]
Roter Wichtel MUWEL bearbeitet nun #28 
 --> Rote Unterbuxe [2.4](Eleganz: 14)
Roter Wichtel ARIHATIXUL bearbeitet nun #29 
 --> Schoko-Nikolaus [4.55](Gesund: Ja)
----------------------------------------
Runde 2
Roter Wichtel ARIBOR bearbeitet nun #30 
 --> Thermo-Ski-Unterwaesche [1.54](Eleganz: 23)
Roter Wichtel SETISETI bearbeitet nun #31 
 --> Knusprige Kekse [3.14](Gesund: Nein)
Roter Wichtel SETIXUL bearbeitet nun #32 
 --> Thermo-Ski-Unterwaesche [0.16](Eleganz: 23)
Roter Wichtel MUWEL bearbeitet nun #33 
 --> Knusprige Kekse [11.68](Gesund: Nein)
----------------------------------------
Runde 3
Roter Wichtel IOTIDURZOTO bearbeitet nun #34 
 --> Interessantes Brettspiel [3.56](Spannung: 7.2)
Roter Wichtel ARIBOR bearbeitet nun #35 
 --> Knusprige Kekse [3.9](Gesund: Nein)
Roter Wichtel SETIXUL bearbeitet nun #36 
 --> Niedliche Puppe [1.24](Spannung: 1.5)
----------------------------------------
Runde 4
Roter Wichtel ARIBOR bearbeitet nun #37 
 --> Interessantes Brettspiel [3.03](Spannung: 7.2)
Blauer Wichtel VARUMA bearbeitet nun #38 
 --> Zipfelige Muetze [4.46](Eleganz: 16)
Roter Wichtel SETISETI bearbeitet nun #39 
 --> Interessantes Brettspiel [8.01](Spannung: 19.2)
Roter Wichtel SETIXUL bearbeitet nun #40 
 --> Stacheliger Kaktus [4.73]
Roter Wichtel ARIHATIXUL bearbeitet nun #41 
 --> Niedliche Puppe [2.74](Spannung: 3.0)
----------------------------------------
Runde 5
Blauer Wichtel HATIHATI bearbeitet nun #42 
 --> Bequeme Hose [4.14](Eleganz: 12)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #43 
 --> Dicker Pullover [2.73](Eleganz: 15)
----------------------------------------
Runde 6
Roter Wichtel VARJOLA bearbeitet nun #44 
 --> Interessantes Brettspiel [4.67](Spannung: 9.6)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #45 
 --> Spannendes Buch [7.7]
Gelber Wichtel CARUMANOR bearbeitet nun #46 
 --> Spannendes Buch [19.17]
Blauer Wichtel FRITAZ bearbeitet nun #47 
 --> Stacheliger Kaktus [2.53]
Gelber Wichtel LEROMI bearbeitet nun #48 
 --> Aromatischer Tee [1.36](Gesund: Nein)
----------------------------------------
Runde 7
Roter Wichtel IOTIDURZOTO bearbeitet nun #49 
 --> Schoko-Nikolaus [1.03](Gesund: Nein)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #50 
 --> Schoko-Nikolaus [0.51](Gesund: Ja)
Roter Wichtel SETIXUL bearbeitet nun #51 
 --> Lange Struempfe [1.2](Eleganz: 15)
Roter Wichtel ARIHATIXUL bearbeitet nun #52 
 --> Stacheliger Kaktus [20.86]
----------------------------------------
Runde 8
Roter Wichtel IOTIDURZOTO bearbeitet nun #53 
 --> Niedliche Puppe [7.78](Spannung: 10.5)
Gelber Wichtel MUSETITAZ bearbeitet nun #54 
 --> Interessantes Brettspiel [7.79](Spannung: 16.8)
Blauer Wichtel NORBOR bearbeitet nun #55 
 --> Spannendes Buch [9.54]
Roter Wichtel ARIBOR bearbeitet nun #56 
 --> Kuscheliger Schal [4.55](Eleganz: 17)
Roter Wichtel UMAUMAIOTI bearbeitet nun #57 
 --> Spannendes Buch [11.11]
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #58 
 --> Schnelles Auto [6.91]
Roter Wichtel SETIXUL bearbeitet nun #59 
 --> Knusprige Kekse [0.87](Gesund: Ja)
----------------------------------------
Runde 9
Blauer Wichtel GEROSMU bearbeitet nun #60 
 --> Aromatischer Tee [0.44](Gesund: Ja)
Gelber Wichtel EORLNOR bearbeitet nun #61 
 --> Knusprige Kekse [12.36](Gesund: Ja)
Blauer Wichtel LEEORL bearbeitet nun #62 
 --> Bequeme Hose [1.65](Eleganz: 12)
Gelber Wichtel LEROMI bearbeitet nun #63 
 --> Kuscheliger Schal [1.91](Eleganz: 17)
Roter Wichtel SETIXUL bearbeitet nun #64 
 --> Niedliche Puppe [5.87](Spannung: 7.5)
----------------------------------------
Runde 10
Blauer Wichtel GEROSMU bearbeitet nun #65 
 --> Schoko-Nikolaus [4.42](Gesund: Ja)
Gelber Wichtel FRIJOLA bearbeitet nun #66 
 --> Interessantes Brettspiel [3.66](Spannung: 7.2)
----------------------------------------
Runde 11
Roter Wichtel VARJOLA bearbeitet nun #67 
 --> Interessantes Brettspiel [5.37](Spannung: 12.0)
Gelber Wichtel UMAHATI bearbeitet nun #68 
 --> Bequeme Hose [0.9](Eleganz: 12)
Roter Wichtel ARIBOR bearbeitet nun #69 
 --> Bequeme Hose [4.3](Eleganz: 12)
----------------------------------------
Runde 12
Blauer Wichtel TAZKOLE bearbeitet nun #70 
 --> Dicker Pullover [0.64](Eleganz: 15)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #71 
 --> Warme Socken [4.22](Eleganz: 12)
Blauer Wichtel FRITAZ bearbeitet nun #72 
 --> Warme Socken [2.49](Eleganz: 12)
Blauer Wichtel VARUMA bearbeitet nun #73 
 --> Dicker Pullover [4.69](Eleganz: 15)
Roter Wichtel MUWEL bearbeitet nun #74 
 --> Lange Struempfe [0.11](Eleganz: 15)
----------------------------------------
Runde 13
Blauer Wichtel HATIHATI bearbeitet nun #75 
 --> Niedliche Puppe [2.92](Spannung: 3.0)
Blauer Wichtel GEROSMU bearbeitet nun #76 
 --> Knusprige Kekse [5.04](Gesund: Nein)
Blauer Wichtel XULVARBOR bearbeitet nun #77 
 --> Stacheliger Kaktus [16.31]
Roter Wichtel SETISETI bearbeitet nun #78 
 --> Zipfelige Muetze [1.9](Eleganz: 16)
Gelber Wichtel LEROMI bearbeitet nun #79 
 --> Robuster Nussknacker [2.66]
Gelber Wichtel EORLKOROMI bearbeitet nun #80 
 --> Knusprige Kekse [3.52](Gesund: Nein)
Roter Wichtel MUWEL bearbeitet nun #81 
 --> Stacheliger Kaktus [7.42]
----------------------------------------
Runde 14
Gelber Wichtel UMAHATI bearbeitet nun #82 
 --> Stacheliger Kaktus [12.71]
Blauer Wichtel LEEORL bearbeitet nun #83 
 --> Knusprige Kekse [8.47](Gesund: Ja)
Roter Wichtel ARIBOR bearbeitet nun #84 
 --> Knusprige Kekse [11.72](Gesund: Nein)
Roter Wichtel SETISETI bearbeitet nun #85 
 --> Zipfelige Muetze [1.12](Eleganz: 16)
Roter Wichtel SETIXUL bearbeitet nun #86 
 --> Robuster Nussknacker [15.41]
----------------------------------------
Runde 15
Roter Wichtel YIFIIOTIBOR bearbeitet nun #87 
 --> Stacheliger Kaktus [2.53]
Roter Wichtel SETISETI bearbeitet nun #88 
 --> Aromatischer Tee [13.92](Gesund: Nein)
Gelber Wichtel FRIJOLA bearbeitet nun #89 
 --> Schnelles Auto [12.72]
----------------------------------------
Runde 16
Blauer Wichtel GEROSMU bearbeitet nun #90 
 --> Robuster Nussknacker [19.25]
Blauer Wichtel TAZKOLE bearbeitet nun #91 
 --> Aromatischer Tee [12.7](Gesund: Ja)
Roter Wichtel IOTIDURZOTO bearbeitet nun #92 
 --> Aromatischer Tee [11.81](Gesund: Nein)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #93 
 --> Thermo-Ski-Unterwaesche [4.9](Eleganz: 23)
----------------------------------------
Runde 17
Roter Wichtel VARJOLA bearbeitet nun #94 
 --> Schoko-Nikolaus [10.94](Gesund: Ja)
Blauer Wichtel XULLE bearbeitet nun #95 
 --> Niedliche Puppe [9.4](Spannung: 13.5)
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #96 
